Datum van activiteit,Naam activiteit,Activiteitstype,Afstand,Hoogtemeters,Beweegtijd,Gemiddelde snelheid,Gemiddelde hartslag,Gemiddeld wattage,Uitrusting voor activiteit,Calorieën
2026-02-20 15:26:33,Namiddagwandeling,Wandelen,4.7618,48.2,3854,4.4496,103.4,,,531.0
2026-02-18 14:37:18,Namiddagwandeling,Wandelen,4.6198999999999995,90.8,3502,4.7484,105.3,,,492.0
2026-02-17 14:29:59,Namiddagwandeling,Wandelen,4.532100000000001,51.0,3457,4.7196,104.6,,,489.0
2026-02-15 13:33:24,Namiddagwandeling,Wandelen,2.8818,36.0,2036,5.094,105.2,,,280.0
2026-02-13 12:41:32,Middagwandeling,Wandelen,8.349200000000002,92.8,6694,4.4892,,,,0.0
2026-02-11 15:22:33,Namiddagwandeling,Wandelen,4.109,72.0,3304,4.4784,101.2,,,424.0
2026-02-10 13:01:46,Namiddagwandeling,Wandelen,4.8637,89.9,3871,4.5216,102.3,,,517.0
2026-02-08 08:55:45,Ochtendrit,Fietsrit,29.041400000000003,372.4,5715,18.2952,122.3,,Merida Scultura 5000,1012.0
2026-02-07 13:06:20,Namiddagwandeling,Wandelen,4.5279,47.0,3511,4.644,102.9,,,463.0
2026-02-06 17:16:58,Namiddagwandeling,Wandelen,3.7309,59.2,3007,4.467600000000001,105.9,,,424.0
2026-02-06 14:03:20,Namiddagtraining,Training,0.0,0.0,5256,0.0,123.5,,,889.0
2026-02-04 12:40:15,Middagwandeling,Wandelen,4.487100000000001,36.4,3545,4.5576,,,,0.0
2026-02-03 15:34:10,Namiddagwandeling,Wandelen,4.0102,44.9,3124,4.6224,,,,0.0
2026-01-31 13:39:14,Namiddagwandeling,Wandelen,4.4658999999999995,44.1,3319,4.8456,101.5,,,438.0
2026-01-30 12:36:00,Middagwandeling,Wandelen,6.687600000000001,77.0,4950,4.8636,105.8,,,706.0
2026-01-22 14:21:51,Namiddagwandeling,Wandelen,4.5047,38.9,3515,4.615200000000001,106.8,,,493.0
2026-01-14 12:56:56,Middagwandeling,Wandelen,5.5425,56.1,4334,4.6044,101.8,,,568.0
2026-01-04 12:16:33,Namiddagwandeling,Wandelen,4.7651,38.3,3687,4.6512,,,,0.0
2025-12-30 13:56:14,Namiddagwandeling,Wandelen,4.520899999999999,47.8,3675,4.428,108.1,,,574.0
